x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61
0.0002744864528073418,0.00013698952811696936,0.00018491742913210988,0.00024265615071626055,0.0003109293471165132,0.00039041850893771024,0.00048157611160231896,0.0005843320811186885,0.0006977598020600387,0.0008197775850057006,0.0009469463478148536,0.0010744021320241383,0.001195948302572288,0.0013043300197140093,0.0013917139151116275,0.0014503846148827518,0.0014736355767430154,0.001456773039104472,0.0013980803526653202,0.0012995300545233146,0.0011670147584679005,0.0010099238376202052,0.0008400301492765161,0.0006698440399613441,0.0005107768281185143,0.0003715513942053896,0.00025724559367777303,0.0001691603945075435,0.00010544500142889368,6.21957458252024e-5,3.465835067761326e-5,1.821979017159623e-5,9.024192589531203e-6,4.206334688863724e-6,1.8432514704694025e-6,7.586710750473907e-7,2.930597756067573e-7,1.0616369072428273e-7,3.6043724206128736e-8,1.1462078746326249e-8,3.4123177282933958e-9,9.505679391236878e-10,2.476738347496312e-10,6.03356552004686e-11,1.3737715208618822e-11,2.9225732645292534e-12,5.807683265773652e-13,1.0777445757229168e-13,1.8672249848942704e-14,3.01971039889352e-15,4.55772143987087e-16,6.423368946693459e-17,8.345010192917002e-18,1.0458850074491798e-18,9.677332582933726e-20,5.300723439618377e-21,0.0,0.0,0.0,0.0,0.0
1.1001147796266582e-5,5.9791009345039205e-6,8.513754053026088e-6,1.1911919022846742e-5,1.644926446774026e-5,2.2475692724170195e-5,3.0401615805727807e-5,4.066064759970308e-5,5.3650314006415247e-5,6.966335153184853e-5,8.883438308217221e-5,0.00011113321287005036,0.0001364270922397841,0.0001646039522076757,0.00019570231009899115,0.00022995278829749153,0.0002676322181745233,0.000308687937448805,0.0003522028364200259,0.0003958985838999711,0.00043594655559496006,0.00046731159330413985,0.00048467837003297675,0.0004837598977824249,0.00046257534417806995,0.00042222630110408946,0.0003668495096606523,0.0003027276043530796,0.00023685929091825435,0.00017547556514069647,0.00012296026594963195,8.142520221711732e-5,5.092011003414544e-5,3.0053529266458414e-5,1.6732137506996656e-5,8.783254477430572e-6,4.345318188363502e-6,2.0252226742083464e-6,8.88865210222879e-7,3.672296690309392e-7,1.4275860663307403e-7,5.2197399343135944e-8,1.7942843222373178e-8,5.796123177612507e-9,1.7586960482186075e-9,5.010134999394877e-10,1.3393965928111107e-10,3.358646582383316e-11,7.89603750319537e-12,1.7395630066091142e-12,3.589689106725897e-13,6.935282474068724e-14,1.2539082325240707e-14,2.120860308965682e-15,3.354064982915701e-16,4.9535124853272084e-17,6.86830876590275e-18,8.610008638377952e-19,1.0178801477554267e-19,9.874430588352177e-21,8.519892224231509e-22
9.752777928421885e-6,5.62109078889058e-6,8.098282400432865e-6,1.1336081542760494e-5,1.5461723613027682e-5,2.0601770500697355e-5,2.6883701148119527e-5,3.444369119744178e-5,4.3440285054635025e-5,5.406946581430629e-5,6.657268612136792e-5,8.12286389570799e-5,9.832393286068474e-5,0.00011810642686750399,0.00014073311907530383,0.00016622589612596845,0.00019443977807626122,0.0002250332228989946,0.00025741925214376057,0.0002906814339902046,0.0003234643962034693,0.00035388570316548376,0.00037954466982479887,0.0003977022581896874,0.00040566306493697627,0.0004013130977984112,0.00038368345210094664,0.000353359658770199,0.0003125726897855149,0.0002648972757280453,0.0002146164104112663,0.00016593083128907556,0.00012224363584274384,8.571041875527925e-5,5.7137114294431326e-5,3.618464162872592e-5,2.1754538332868882e-5,1.2408772124346199e-5,6.711404000297431e-6,3.4400160330790037e-6,1.670016863095452e-6,7.674183959787269e-7,3.3359195324399086e-7,1.3708035377090964e-7,5.321097325109076e-8,1.9497271658361463e-8,6.738595414004067e-9,2.195159169465413e-9,6.735186842609161e-10,1.9449968574390952e-10,5.283103532396128e-11,1.3489479486292053e-11,3.2358862796929936e-12,7.288890272724393e-13,1.540988350618713e-13,3.056515907596666e-14,5.685757640373439e-15,9.915415985492722e-16,1.6209531298115414e-16,2.4815215074902658e-17,4.10242695158266e-18
2.2455563201499393e-6,1.6553287113002977e-6,2.6914300890146867e-6,4.258734056899164e-6,6.5646213152485755e-6,9.866239566076275e-6,1.4467406937443893e-5,2.0704926557744067e-5,2.8919832437133163e-5,3.94115485273205e-5,5.237872740994212e-5,6.785886309198673e-5,8.56865895300086e-5,0.00010549291952126898,0.00012675970702036594,0.00014892409090841202,0.00017150212701432847,0.00019418142491212155,0.0002168328634813873,0.00023941731770607536,0.00026180680946049544,0.0002835807768732517,0.0003038765422916224,0.00032135962156622054,0.00033434190416167624,0.0003410315973338606,0.0003398638117932434,0.00032984096616433796,0.00031080662436526387,0.00028358368254920277,0.00024993035738385806,0.00021230704909091133,0.0001734975740171329,0.00013617273114713063,0.00010250285131558057,7.390840912554937e-5,5.0990594836586927e-5,3.362748185564856e-5,2.1178820011470523e-5,1.2726775860761955e-5,7.290414770304534e-6,3.97749781684354e-6,2.064900130052095e-6,1.019140784830995e-6,4.77799538071778e-7,2.1261257717047112e-7,8.973297086827363e-8,3.589730171892274e-8,1.3604613327288234e-8,4.882401390943443e-9,1.658623325365532e-9,5.332140297903033e-10,1.6217567754350456e-10,4.665495135347696e-11,1.2691986169166487e-11,3.264044760513654e-12,7.93277956967493e-13,1.8211750342707184e-13,3.9474158815217294e-14,8.073261677299437e-15,1.8973971534373243e-15
1.089101174267671e-6,6.592077320973081e-7,9.599548802874592e-7,1.3546076457329774e-6,1.8656596147679353e-6,2.5309453542753867e-6,3.417248614091161e-6,4.636676796672349e-6,6.360740078140785e-6,8.824356970238949e-6,1.2311842668063166e-5,1.7121452744260194e-5,2.3514492990177956e-5,3.166597758409252e-5,4.1639563272190425e-5,5.340337350262623e-5,6.688429644288599e-5,8.203430167810163e-5,9.88674618888366e-5,0.00011743250031043721,0.0001377132108275437,0.00015948493063469834,0.00018218036646721486,0.00020481960725127492,0.00022603799019723275,0.0002442141347695911,0.00025767365587549913,0.00026492978260506193,0.00026491913345002644,0.00025719336499091706,0.0002420315183521317,0.00022044525468198684,0.00019406440046847062,0.00016491493685479806,0.00013513007675153147,0.00010665582238722321,8.101474710701287e-5,5.91731687969065e-5,4.152502528955178e-5,2.7973936342843245e-5,1.8074612379302307e-5,1.1190356331494635e-5,6.632012546489265e-6,3.7586466000059033e-6,2.035019441926817e-6,1.0515951448559395e-6,5.182092266626809e-7,2.43346140741197e-7,1.0883031301211654e-7,4.633182238580792e-8,1.8769656792707356e-8,7.233598617186052e-9,2.6512985996216378e-9,9.239423728433915e-10,3.0602746961499047e-10,9.62960336425352e-11,2.8769904276681317e-11,8.15537896767034e-12,2.1916357794632696e-12,5.578457697694621e-13,1.7316878128806923e-13
5.431686854506935e-6,2.643325544951284e-6,3.559862684715092e-6,4.710909392687568e-6,6.1854897199701864e-6,8.126719006115278e-6,1.0745132747523551e-5,1.43243105308691e-5,1.9211435952057253e-5,2.5783866275973284e-5,3.4385456427973586e-5,4.523622029765229e-5,5.833498574040484e-5,7.339007103506421e-5,8.981676850899668e-5,0.00010682432627896423,0.00012358112837753104,0.0001394092843155765,0.0001539390588914737,0.00016716313135211065,0.00017936806723989828,0.00019096768850871372,0.00020229770283940047,0.00021343898315939524,0.0002241192195125246,0.00023371183123491843,0.00024132203654944436,0.00024593232235578923,0.0002465745435438293,0.0002424989750277975,0.00023331596717926983,0.00021909002199835075,0.00020036970804790337,0.00017814318831102283,0.00015372100722713938,0.00012856412384682316,0.00010409043108096484,8.14999561950927e-5,6.165338035963001e-5,4.502222604021104e-5,3.170888025240276e-5,2.1518389509504335e-5,1.4056412662370572e-5,8.82896182364871e-6,5.326440046704708e-6,3.0830899346365384e-6,1.7104736228433822e-6,9.087326805864329e-7,4.619726319392705e-7,2.2459174978061293e-7,1.0436784466166649e-7,4.634246008151909e-8,1.965619538023851e-8,7.961506743018562e-9,3.0782746083970952e-9,1.1356093723334991e-9,3.9947779736328267e-10,1.3389593921546642e-10,4.272344476144169e-11,1.296470190085943e-11,5.11052127615771e-12
5.41268156624511e-6,2.959332488719101e-6,4.20724198613164e-6,5.858635936652799e-6,8.02851426917407e-6,1.0870891450805422e-5,1.4594251662900864e-5,1.948410924306829e-5,2.5932876424369237e-5,3.447038225145324e-5,4.5777271369980136e-5,6.065256884644202e-5,7.990495185668818e-5,0.00010415473374098474,0.00013357308941860786,0.0001676340599598673,0.00020498553864475185,0.00024352895349336387,0.00028072657807105264,0.00031405844696667806,0.0003414798673952888,0.0003617284343583958,0.000374398827674665,0.00037980364346122176,0.0003787136050436615,0.00037208787253795135,0.0003608713541669627,0.0003458837119800317,0.0003277859232007472,0.00030709693793726987,0.00028423787714050596,0.00025959007529418655,0.00023355676296014078,0.00020661593527170074,0.00017934940180057315,0.00015243572604953438,0.0001266042492576495,0.00010256024443111575,8.090142511428782e-5,6.204864886900588e-5,4.6207818530859486e-5,3.3368998287635035e-5,2.333779207634602e-5,1.5787103118357887e-5,1.0315720184112472e-5,6.502504223280893e-6,3.9490707541353106e-6,2.3079847636513286e-6,1.2967200762918594e-6,6.997777787007896e-7,3.6247402333611673e-7,1.801223293820047e-7,8.583289987528673e-8,3.920862706251833e-8,1.7162946789161607e-8,7.196010657732496e-9,2.88824590173403e-9,1.108936523510519e-9,4.06943888395526e-10,1.4259183405475717e-10,6.925448561666093e-11
3.186290852809502e-6,1.6627916609085432e-6,2.327761839057798e-6,3.2055468385898034e-6,4.366846929123801e-6,5.909231027223669e-6,7.96386781915623e-6,1.0703765211148626e-5,1.4354032667042946e-5,1.9202458194219135e-5,2.5604726841653004e-5,3.397433969486117e-5,4.4745762605568124e-5,5.830419277550677e-5,7.488824416854261e-5,9.448938357304259e-5,0.00011678477051487571,0.00014113725388930216,0.00016667324066671962,0.00019241462729406217,0.00021741432738149938,0.0002408440008243013,0.0002620099992086517,0.00028031305956156317,0.00029519467808783196,0.00030611323321608983,0.00031256932024237326,0.00031416983263695943,0.00031070178838397126,0.0003021867678372778,0.00028890009893294704,0.00027135504148869,0.00025026264688797023,0.0002264799040887557,0.00020095454303679415,0.00017466907930596153,0.00014858342041157538,0.00012357625458951396,0.00010038926112945052,7.958184584969295e-5,6.150475284294239e-5,4.6297664742912144e-5,3.391027953929442e-5,2.4141036238703093e-5,1.6684796493021845e-5,1.1180908719774748e-5,7.255270372694493e-6,4.552838016706481e-6,2.759464937105426e-6,1.613611255771106e-6,9.094824215265739e-7,4.937191203991247e-7,2.5798638408255237e-7,1.2969966075291463e-7,6.270829780134862e-8,2.9145191735629677e-8,1.3014846976623994e-8,5.5803014353452906e-9,2.2954748176234626e-9,9.050527855609165e-10,5.278778848150154e-10
5.958276951504297e-6,3.0656932866260286e-6,4.1986318211849895e-6,5.597016937206084e-6,7.298937454826646e-6,9.354497738433456e-6,1.1830984132480043e-5,1.4818956777558478e-5,1.8439577557681565e-5,2.285204519664571e-5,2.825750085727016e-5,3.4893287100143456e-5,4.301095027975982e-5,5.283498070401832e-5,6.45076477393802e-5,7.803580150818325e-5,9.326203192322786e-5,0.00010987834273344564,0.00012748356051780208,0.00014566285135913148,0.00016405241345948543,0.0001823562246257248,0.00020030514527179819,0.00021757915998434473,0.00023373339047302614,0.0002481668764575799,0.0002601526552684005,0.00026892126967444687,0.0002737711265809869,0.00027417457505484795,0.0002698560249263916,0.000260831105873967,0.00024740734142716876,0.00023015369977174676,0.00020984840122442863,0.0001874131419334742,0.00016383973475987064,0.00014011401342998363,0.00011714244511321079,9.568846034961632e-5,7.632624420516828e-5,5.9418105326806134e-5,4.511742511067292e-5,3.339403101025584e-5,2.407471864284319e-5,1.6890016770953217e-5,1.1519265543766415e-5,7.628667568589377e-6,4.899849241892746e-6,3.0487004687103436e-6,1.8355608354928397e-6,1.0683850457061278e-6,6.006836205925276e-7,3.2602123919363327e-7,1.707280090193169e-7,8.622355666961694e-8,4.1976612932869534e-8,1.9688421259938562e-8,8.890777755601594e-9,3.8621646819657525e-9,2.6465364369518193e-9
5.646577666434602e-6,3.0221151102676978e-6,4.250183832904135e-6,5.8521151196920985e-6,7.92643564236608e-6,1.0598215761505548e-5,1.4019812139157056e-5,1.836869832978599e-5,2.3843564449153157e-5,3.066017666899994e-5,3.90475039674155e-5,4.9242216480881466e-5,6.147647774235985e-5,7.595178969586058e-5,9.279321897355792e-5,0.00011198572779157296,0.0001333065254072957,0.0001562786789313273,0.00018017325615013975,0.00020407444479662298,0.00022699744553674882,0.0002480246544970552,0.0002664161122054517,0.0002816618766083861,0.0002934703354387797,0.000301712394228581,0.000306353774444682,0.0003074031187680893,0.00030488890488461365,0.00029886332097898044,0.0002894228032732452,0.0002767336512935064,0.0002610540695544546,0.00024274773875858656,0.00022228666087356955,0.00020024223636135944,0.00017726399015630795,0.0001540460654255958,0.00013128330497441765,0.00010962142649782953,8.960848925829848e-5,7.165604771067149e-5,5.601703355578449e-5,4.278367703816923e-5,3.190407392890763e-5,2.3212144420224427e-5,1.646394704957862e-5,1.1373745443322329e-5,7.645122646066267e-6,4.994745580470772e-6,3.1683005069012856e-6,1.9493267154526635e-6,1.1622411870564104e-6,6.710104172788746e-7,3.748973008096756e-7,2.0259194841099758e-7,1.0584244764131968e-7,5.3434346284911806e-8,2.6053367241977053e-8,1.2260076898348155e-8,9.686234622654604e-9
5.74418083332359e-6,3.033014466260779e-6,4.227368945126613e-6,5.752015239032877e-6,7.673508325579367e-6,1.0072887731122393e-5,1.3048941128965891e-5,1.6723028225424794e-5,2.1246443131102355e-5,2.6809877678719572e-5,3.365197606310827e-5,4.206071350374443e-5,5.235854163381917e-5,6.486212119379101e-5,7.981283710818176e-5,9.728655899796047e-5,0.00011710720723489402,0.00013879991370012679,0.00016161533025816925,0.00018463256949269606,0.00020691292966892503,0.00022764941619110173,0.0002462563345865352,0.0002623718847165804,0.00027578863341839115,0.00028635746974704155,0.0002939142633080917,0.00029825737599541895,0.00029917473622972294,0.0002964984868819348,0.00029016066765289177,0.0002802314329611826,0.00026693338916401684,0.00025063487644993076,0.00023182900324677876,0.00021110498076582933,0.0001891159776918241,0.0001665451974714616,0.0001440703917181192,0.00012232713005399916,0.00010187266023087194,8.31541400883969e-5,6.648606524321174e-5,5.2040930622839956e-5,3.985464639918761e-5,2.984502970229179e-5,2.1839141874458513e-5,1.5604189410102625e-5,1.0877200350227422e-5,7.390157439346307e-6,4.888975616965406e-6,3.1461109469221126e-6,1.9674655571576956e-6,1.1946574357918306e-6,7.038229318377682e-7,4.020723111943332e-7,2.2261176125008265e-7,1.193990876566612e-7,6.201017391614693e-8,3.1167291720115424e-8,2.7887701648628402e-8
