wlth,earn
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.0517381605261886,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.16809777948184113,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.3349015187092538,0.0
0.5461512968251501,0.0
0.5461512968251501,0.0
0.5461512968251501,0.0
0.5461512968251501,0.0
0.5461512968251501,0.0
0.5461512968251501,0.0
0.5461512968251501,0.0
0.5461512968251501,0.0
0.5461512968251501,0.0
0.5461512968251501,0.0
0.5461512968251501,0.0
